"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
65,"MOODY","n",55,"g",40,120,"b",9,0,27,27,27,NA,NA,"",NA,2.35,529.107927399999,531.4617865,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,531.4617865,531.4617865,531.4617865,531.4617865,531.4617865,531.4617865,531.4617865,50,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,538.473392799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
65,"PATIENT","p",45,"b",-40,120,"b",10,0,13,13,13,NA,NA,"",NA,1.3,335.114898,336.421313299999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,336.421313299999,336.421313299999,336.421313299999,336.421313299999,336.421313299999,336.421313299999,336.421313299999,50,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,343.431551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
65,"WITTY","p",75,"g",200,120,"s",11,0,34,34,34,NA,NA,"",NA,2.534,626.393928199999,628.934996,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,628.934996,628.934996,628.934996,628.934996,628.934996,628.934996,628.934996,50,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,635.944527599999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,4
65,"EFFICIENT","p",35,"b",-120,120,"s",12,0,6,6,6,NA,NA,"",NA,1.9,246.3590651,248.2620826,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,248.2620826,248.2620826,248.2620826,248.2620826,248.2620826,248.2620826,248.2620826,50,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,255.2771237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,4
65,"COMPETENT","p",60,"b",80,120,"s",13,0,41,41,41,NA,NA,"",NA,1.984,726.7164335,728.705943199999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,728.705943199999,728.705943199999,728.705943199999,728.705943199999,728.705943199999,728.705943199999,728.705943199999,50,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,735.717522999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
65,"RESERVED","n",60,"g",80,120,"s",14,0,2,2,2,NA,NA,"",NA,1.217,191.674721699999,192.896776199999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,192.896776199999,192.896776199999,192.896776199999,192.896776199999,192.896776199999,192.896776199999,192.896776199999,50,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,199.9077965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
30,"GLOOMY","n",35,"b",-120,-160,"b",43,0,21,21,21,NA,NA,"",NA,1.934,447.434313399999,449.371635399999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,449.371635399999,449.371635399999,449.371635399999,449.371635399999,449.371635399999,449.371635399999,449.371635399999,40,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,456.3840695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
50,"CREATIVE","p",65,"g",120,0,"s",31,0,16,16,16,NA,NA,"",NA,2.35,376.0844758,378.441191399999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,378.441191399999,378.441191399999,378.441191399999,378.441191399999,378.441191399999,378.441191399999,378.441191399999,50,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,385.453263699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
60,"INDECISIVE","n",45,"g",-40,80,"s",19,0,19,19,19,NA,NA,"",NA,1.367,416.479870499999,417.8486505,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,417.8486505,417.8486505,417.8486505,417.8486505,417.8486505,417.8486505,417.8486505,50,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,424.864781499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
50,"HAPPY","p",65,"g",120,0,"s",32,0,46,46,46,NA,NA,"",NA,1,792.610104599999,793.6221085,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,793.6221085,793.6221085,793.6221085,793.6221085,793.6221085,793.6221085,793.6221085,55,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,800.632603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
