"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
80,"COMPETENT","p",55,"b",40,240,"b",9,0,27,27,27,NA,NA,"",NA,2.35,511.6197023,513.982272,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",513.982272,513.982272,513.982272,513.982272,513.982272,513.982272,513.982272,75,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,521.0049729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
50,"RESERVED","n",45,"g",-40,0,"s",35,0,38,38,38,NA,NA,"",NA,1.15,667.9274419,669.1011243,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",669.1011243,669.1011243,669.1011243,669.1011243,669.1011243,669.1011243,669.1011243,45,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,676.1157916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,3
35,"GLOOMY","n",25,"g",-200,-120,"s",39,0,33,33,33,NA,NA,"",NA,2.684,592.3457886,595.0449303,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",595.0449303,595.0449303,595.0449303,595.0449303,595.0449303,595.0449303,595.0449303,25,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,602.0643237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,3
65,"ADMIRABLE","p",60,"b",80,120,"s",21,0,20,20,20,NA,NA,"",NA,1.567,414.2686416,415.8455842,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",415.8455842,415.8455842,415.8455842,415.8455842,415.8455842,415.8455842,415.8455842,65,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,422.8692352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
50,"CREATIVE","p",60,"g",80,0,"s",36,0,15,15,15,NA,NA,"",NA,1.7,342.733574,344.4412649,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",344.4412649,344.4412649,344.4412649,344.4412649,344.4412649,344.4412649,344.4412649,45,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,351.4673749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
60,"ANXIOUS","n",30,"g",-160,80,"s",28,0,53,53,53,NA,NA,"",NA,2.634,866.5110244,869.159453,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",869.159453,869.159453,869.159453,869.159453,869.159453,869.159453,869.159453,65,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,876.1771625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
65,"VULNERABLE","n",40,"g",-80,120,"s",22,0,56,56,56,NA,NA,"",NA,1.617,909.0411648,910.6692574,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",910.6692574,910.6692574,910.6692574,910.6692574,910.6692574,910.6692574,910.6692574,65,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,917.6911007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,3
80,"HAPPY","p",65,"b",120,240,"b",10,0,13,13,13,NA,NA,"",NA,1.3,317.449191,318.7579386,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",318.7579386,318.7579386,318.7579386,318.7579386,318.7579386,318.7579386,318.7579386,75,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,325.7811715,1.284171093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
90,"SUPPORTED","p",60,"b",80,320,"b",6,0,4,4,4,NA,NA,"",NA,1.417,197.1136805,198.5421682,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",198.5421682,198.5421682,198.5421682,198.5421682,198.5421682,198.5421682,198.5421682,85,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,205.5645053,1.400283591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
55,"INTERESTING","p",60,"g",80,40,"s",34,0,1,1,1,NA,NA,"",NA,1.684,158.1183132,159.8146321,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",159.8146321,159.8146321,159.8146321,159.8146321,159.8146321,159.8146321,159.8146321,60,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,166.8432111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,4
