"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
60,"EFFICIENT","p",65,"g",120,80,"b",9,0,27,27,27,NA,NA,"",NA,2.35,503.387288177779,505.754045724447,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,505.754045724447,505.754045724447,505.754045724447,505.754045724447,505.754045724447,505.754045724447,505.754045724447,70,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,512.779726791108,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
55,"COMPETENT","p",50,"b",0,40,"s",16,0,40,40,40,NA,NA,"",NA,2.651,684.467206826666,687.134405973338,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,687.134405973338,687.134405973338,687.134405973338,687.134405973338,687.134405973338,687.134405973338,687.134405973338,60,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,694.153073777779,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
10,"RESERVED","n",40,"b",-80,-320,"b",44,0,10,10,10,NA,NA,"",NA,1.684,269.390265742215,271.090318791103,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,271.090318791103,271.090318791103,271.090318791103,271.090318791103,271.090318791103,271.090318791103,271.090318791103,25,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,278.109716480001,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
10,"GLOOMY","n",20,"b",-240,-320,"b",45,0,11,11,11,NA,NA,"",NA,1.25,285.097599146669,286.362488604442,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,286.362488604442,286.362488604442,286.362488604442,286.362488604442,286.362488604442,286.362488604442,286.362488604442,5,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,293.384098986659,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,2
60,"ADMIRABLE","p",60,"g",80,80,"b",10,0,13,13,13,NA,NA,"",NA,1.3,309.26215822222,310.576621795553,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,310.576621795553,310.576621795553,310.576621795553,310.576621795553,310.576621795553,310.576621795553,310.576621795553,60,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,317.596587519991,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
15,"CREATIVE","p",45,"g",-40,-280,"s",39,0,33,33,33,NA,NA,"",NA,2.684,584.068940800003,586.769080888887,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,586.769080888887,586.769080888887,586.769080888887,586.769080888887,586.769080888887,586.769080888887,586.769080888887,15,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,593.787630364444,1.96661845334165,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
15,"ANXIOUS","n",30,"b",-160,-280,"s",40,0,25,25,25,NA,NA,"",NA,1.05,473.246510080004,474.313857137779,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,474.313857137779,474.313857137779,474.313857137779,474.313857137779,474.313857137779,474.313857137779,474.313857137779,15,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,481.332889315556,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
50,"HAPPY","p",50,"b",0,0,"s",21,0,20,20,20,NA,NA,"",NA,1.567,406.061187413332,407.641358791108,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,407.641358791108,407.641358791108,407.641358791108,407.641358791108,407.641358791108,407.641358791108,407.641358791108,50,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,414.666081848889,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
60,"SUPPORTED","p",60,"g",0,80,"s",11,0,34,34,34,NA,NA,"",NA,2.534,600.767379911107,603.317876906658,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,603.317876906658,603.317876906658,603.317876906658,603.317876906658,603.317876906658,603.317876906658,603.317876906658,60,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,610.337921137776,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
60,"INTERESTING","p",70,"g",160,80,"s",12,0,6,6,6,NA,NA,"",NA,1.9,220.423297991103,222.337558471103,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,222.337558471103,222.337558471103,222.337558471103,222.337558471103,222.337558471103,222.337558471103,222.337558471103,65,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,229.359731484437,4.51190698666323,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
60,"HUMOROUS","p",30,"b",-160,80,"s",13,0,41,41,41,NA,NA,"",NA,1.984,701.143287182218,703.142688711116,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,703.142688711116,703.142688711116,703.142688711116,703.142688711116,703.142688711116,703.142688711116,703.142688711116,60,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,710.161816746666,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
50,"LUCKY","p",55,"g",40,0,"s",22,0,56,56,56,NA,NA,"",NA,1.617,900.596935395559,902.230784853338,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,902.230784853338,902.230784853338,902.230784853338,902.230784853338,902.230784853338,902.230784853338,902.230784853338,60,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,909.24896170666,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
35,"SOCIABLE","p",65,"g",120,-120,"s",26,0,57,57,57,NA,NA,"",NA,1.517,916.229329635549,917.764108515548,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,917.764108515548,917.764108515548,917.764108515548,917.764108515548,917.764108515548,917.764108515548,917.764108515548,50,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,924.782228764438,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
20,"AMBITIOUS","p",40,"g",-80,-240,"s",37,0,23,23,23,NA,NA,"",NA,2.934,446.756679964441,449.707281919997,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,449.707281919997,449.707281919997,449.707281919997,449.707281919997,449.707281919997,449.707281919997,449.707281919997,25,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,456.728491804446,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
50,"UNHEALTHY","n",30,"g",-160,0,"s",23,0,50,50,50,NA,NA,"",NA,1.167,816.739483306665,817.920511999997,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,817.920511999997,817.920511999997,817.920511999997,817.920511999997,817.920511999997,817.920511999997,817.920511999997,50,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,824.941077902215,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,2
25,"INATTENTIVE","n",40,"b",-80,-200,"s",31,0,16,16,16,NA,NA,"",NA,2.35,350.261821439999,352.628038542214,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,352.628038542214,352.628038542214,352.628038542214,352.628038542214,352.628038542214,352.628038542214,352.628038542214,30,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,359.652184746665,4.66890154666908,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
15,"PASSIVE","n",35,"b",-120,-280,"b",41,0,26,26,26,NA,NA,"",NA,1.05,488.322949120004,489.386374257781,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,489.386374257781,489.386374257781,489.386374257781,489.386374257781,489.386374257781,489.386374257781,489.386374257781,20,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,496.406713457778,2.796101119995,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
50,"PRODUCTIVE","p",65,"g",120,0,"s",24,0,51,51,51,NA,NA,"",NA,2.167,831.921779768891,834.102874737771,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,834.102874737771,834.102874737771,834.102874737771,834.102874737771,834.102874737771,834.102874737771,834.102874737771,50,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,841.123997297778,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
60,"ORIGINAL","p",45,"b",-40,80,"s",14,0,2,2,2,NA,NA,"",NA,1.217,165.700043662218,166.93635100445,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,166.93635100445,166.93635100445,166.93635100445,166.93635100445,166.93635100445,166.93635100445,166.93635100445,60,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,173.962340124446,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
35,"BRILLIANT","p",55,"g",40,-120,"s",27,0,58,58,58,NA,NA,"",NA,1.667,931.773659875558,933.454564124448,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,933.454564124448,933.454564124448,933.454564124448,933.454564124448,933.454564124448,933.454564124448,933.454564124448,50,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,940.481142328892,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
