"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
25,"MOODY","n",35,"b",-120,-200,"b",42,0,37,37,37,NA,NA,"",NA,1.867,654.3830191,656.250739499999,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,656.250739499999,656.250739499999,656.250739499999,656.250739499999,656.250739499999,656.250739499999,656.250739499999,25,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,663.266259099999,1.33628490000046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
65,"WITTY","p",85,"g",280,120,"s",21,0,20,20,20,NA,NA,"",NA,1.567,416.8832513,418.4591389,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,418.4591389,418.4591389,418.4591389,418.4591389,418.4591389,418.4591389,418.4591389,70,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,425.4700681,1.41516410000077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
75,"EFFICIENT","p",45,"b",-40,200,"s",11,0,34,34,34,NA,NA,"",NA,2.534,611.445469799999,613.9864592,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,613.9864592,613.9864592,613.9864592,613.9864592,613.9864592,613.9864592,613.9864592,65,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,620.9961305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
70,"COMPETENT","p",55,"b",40,160,"s",15,0,47,47,47,NA,NA,"",NA,1.517,792.641564599999,794.1634022,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,794.1634022,794.1634022,794.1634022,794.1634022,794.1634022,794.1634022,794.1634022,65,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,801.1750646,2.64938789999906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
45,"RESERVED","n",30,"g",-160,-40,"s",32,0,46,46,46,NA,NA,"",NA,1,777.6295742,778.638804999999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,778.638804999999,778.638804999999,778.638804999999,778.638804999999,778.638804999999,778.638804999999,778.638804999999,35,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,785.652099699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
60,"ADMIRABLE","p",55,"b",40,80,"s",25,0,54,54,54,NA,NA,"",NA,2.167,885.187983799999,887.363410799999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,887.363410799999,887.363410799999,887.363410799999,887.363410799999,887.363410799999,887.363410799999,887.363410799999,60,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,894.372350599999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
30,"ANXIOUS","n",40,"b",-80,-160,"s",38,0,31,31,31,NA,NA,"",NA,2.25,569.918675499999,572.173782899999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,572.173782899999,572.173782899999,572.173782899999,572.173782899999,572.173782899999,572.173782899999,572.173782899999,30,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,579.185629399999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
50,"INDECISIVE","n",35,"g",-120,0,"s",29,0,45,45,45,NA,NA,"",NA,2.901,760.7284932,763.6355556,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,763.6355556,763.6355556,763.6355556,763.6355556,763.6355556,763.6355556,763.6355556,45,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,770.645811499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
50,"VULNERABLE","n",45,"g",-40,0,"s",30,0,42,42,42,NA,NA,"",NA,2.017,727.7397098,729.7652475,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,729.7652475,729.7652475,729.7652475,729.7652475,729.7652475,729.7652475,729.7652475,50,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,736.7752982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
70,"INTERESTING","p",75,"g",160,160,"s",16,0,40,40,40,NA,NA,"",NA,2.651,695.078194599999,697.740963599999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,697.740963599999,697.740963599999,697.740963599999,697.740963599999,697.740963599999,697.740963599999,697.740963599999,70,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,704.753424299999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
65,"HUMOROUS","p",60,"b",80,120,"s",22,0,56,56,56,NA,NA,"",NA,1.617,911.018405199999,912.6408469,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,912.6408469,912.6408469,912.6408469,912.6408469,912.6408469,912.6408469,912.6408469,65,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,919.652643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
85,"LUCKY","p",65,"b",120,280,"b",6,0,4,4,4,NA,NA,"",NA,1.417,200.005140899999,201.4282733,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,201.4282733,201.4282733,201.4282733,201.4282733,201.4282733,201.4282733,201.4282733,85,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,208.439188099999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
80,"SOCIABLE","p",60,"b",80,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,553.790956499999,555.917175499999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,555.917175499999,555.917175499999,555.917175499999,555.917175499999,555.917175499999,555.917175499999,555.917175499999,80,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,562.929691699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
75,"AMBITIOUS","p",85,"g",280,200,"s",12,0,6,6,6,NA,NA,"",NA,1.9,231.4175574,233.3222322,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,233.3222322,233.3222322,233.3222322,233.3222322,233.3222322,233.3222322,233.3222322,80,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,240.3356241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
45,"UNHEALTHY","n",25,"g",-200,-40,"s",33,0,8,8,8,NA,NA,"",NA,2.217,255.381751199999,257.607222999999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,257.607222999999,257.607222999999,257.607222999999,257.607222999999,257.607222999999,257.607222999999,257.607222999999,30,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,264.6189999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
20,"INATTENTIVE","n",20,"b",-240,-240,"b",44,0,10,10,10,NA,NA,"",NA,1.684,280.345399099999,282.0364852,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,282.0364852,282.0364852,282.0364852,282.0364852,282.0364852,282.0364852,282.0364852,20,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,289.045432999999,1.85862590000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
35,"PASSIVE","n",25,"g",-200,-120,"s",36,0,15,15,15,NA,NA,"",NA,1.7,345.437359399999,347.143628799999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,347.143628799999,347.143628799999,347.143628799999,347.143628799999,347.143628799999,347.143628799999,347.143628799999,35,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,354.1541769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
