"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
10,"LAZY","n",30,"b",-160,-320,"s",31,0,16,16,16,NA,NA,"",NA,2.35,358.466293700003,360.8180785,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,360.8180785,360.8180785,360.8180785,360.8180785,360.8180785,360.8180785,360.8180785,15,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,367.828641400003,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
50,"TALENTED","p",70,"g",160,0,"s",18,0,17,17,17,NA,NA,"",NA,1.467,374.830533799999,376.298425400004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,376.298425400004,376.298425400004,376.298425400004,376.298425400004,376.298425400004,376.298425400004,376.298425400004,55,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,383.309967200003,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
5,"MOODY","n",25,"b",-200,-360,"s",37,0,23,23,23,NA,NA,"",NA,2.934,454.900719199999,457.836932999999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,457.836932999999,457.836932999999,457.836932999999,457.836932999999,457.836932999999,457.836932999999,457.836932999999,5,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,464.848572700001,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
75,"PATIENT","p",80,"g",240,200,"s",11,0,34,34,34,NA,NA,"",NA,2.534,608.835822499997,611.372432700002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,611.372432700002,611.372432700002,611.372432700002,611.372432700002,611.372432700002,611.372432700002,611.372432700002,70,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,618.387108399998,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
50,"WITTY","p",75,"g",200,0,"s",19,0,19,19,19,NA,NA,"",NA,1.367,398.851625100004,400.219539500002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,400.219539500002,400.219539500002,400.219539500002,400.219539500002,400.219539500002,400.219539500002,400.219539500002,50,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,407.233155100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
80,"COMPETENT","p",70,"b",160,240,"b",10,0,13,13,13,NA,NA,"",NA,1.3,317.480324900003,318.781058,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,318.781058,318.781058,318.781058,318.781058,318.781058,318.781058,318.781058,80,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,325.796358899999,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,4
15,"RESERVED","n",35,"b",-120,-280,"s",25,0,54,54,54,NA,NA,"",NA,2.167,882.659162900003,884.8273367,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,884.8273367,884.8273367,884.8273367,884.8273367,884.8273367,884.8273367,884.8273367,15,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,891.842626500002,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
50,"ADMIRABLE","p",60,"g",80,0,"s",20,0,29,29,29,NA,NA,"",NA,1.067,536.088694999999,537.155953900001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,537.155953900001,537.155953900001,537.155953900001,537.155953900001,537.155953900001,537.155953900001,537.155953900001,50,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,544.164725499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
70,"CREATIVE","p",75,"g",200,160,"s",13,0,41,41,41,NA,NA,"",NA,1.984,709.156969900003,711.1583102,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,711.1583102,711.1583102,711.1583102,711.1583102,711.1583102,711.1583102,711.1583102,70,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,718.1563351,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,4
5,"ANXIOUS","n",30,"b",-160,-360,"s",38,0,31,31,31,NA,NA,"",NA,2.25,567.299140800002,569.551020500003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,569.551020500003,569.551020500003,569.551020500003,569.551020500003,569.551020500003,569.551020500003,569.551020500003,5,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,576.560252299998,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
10,"VULNERABLE","n",20,"b",-240,-320,"s",32,0,46,46,46,NA,NA,"",NA,1,775.064812600001,776.065654800004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,776.065654800004,776.065654800004,776.065654800004,776.065654800004,776.065654800004,776.065654800004,776.065654800004,10,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,783.0780256,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
70,"INTERESTING","p",75,"g",200,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,173.9877634,175.206035900002,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,175.206035900002,175.206035900002,175.206035900002,175.206035900002,175.206035900002,175.206035900002,175.206035900002,70,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,182.216742299999,1.0465652999992,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
50,"HUMOROUS","p",65,"g",120,0,"s",21,0,20,20,20,NA,NA,"",NA,1.567,414.231498499998,415.800745100001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,415.800745100001,415.800745100001,415.800745100001,415.800745100001,415.800745100001,415.800745100001,415.800745100001,50,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,422.809817699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
25,"LUCKY","p",60,"g",80,-200,"s",23,0,50,50,50,NA,NA,"",NA,1.167,824.6915477,825.859211000003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,825.859211000003,825.859211000003,825.859211000003,825.859211000003,825.859211000003,825.859211000003,825.859211000003,30,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,832.875046599998,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
