"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
80,"TALENTED","p",65,"b",120,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,205.9602332,207.3853104,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,207.3853104,207.3853104,207.3853104,207.3853104,207.3853104,207.3853104,207.3853104,75,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,214.4107941,3.708390684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
60,"PATIENT","p",75,"g",200,80,"s",27,0,58,58,58,NA,NA,"",NA,1.667,948.8336395,950.517436,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,950.517436,950.517436,950.517436,950.517436,950.517436,950.517436,950.517436,60,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,957.5423559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
80,"WITTY","p",65,"b",120,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,560.0472422,562.1726737,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,562.1726737,562.1726737,562.1726737,562.1726737,562.1726737,562.1726737,562.1726737,80,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,569.1956196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
30,"RESERVED","n",15,"g",-280,-160,"s",34,0,1,1,1,NA,NA,"",NA,1.684,166.9823738,168.6769155,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,168.6769155,168.6769155,168.6769155,168.6769155,168.6769155,168.6769155,168.6769155,25,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,175.7093217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,3
5,"GLOOMY","n",15,"b",-280,-360,"b",43,0,21,21,21,NA,NA,"",NA,1.934,438.6285565,440.5668355,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,440.5668355,440.5668355,440.5668355,440.5668355,440.5668355,440.5668355,440.5668355,5,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,447.5923817,0.900458098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,2
75,"ADMIRABLE","p",70,"b",160,200,"s",13,0,41,41,41,NA,NA,"",NA,1.984,718.1278282,720.1211102,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,720.1211102,720.1211102,720.1211102,720.1211102,720.1211102,720.1211102,720.1211102,75,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,727.1453596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
75,"CREATIVE","p",60,"b",80,200,"s",14,0,2,2,2,NA,NA,"",NA,1.217,182.6768031,183.9026313,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,183.9026313,183.9026313,183.9026313,183.9026313,183.9026313,183.9026313,183.9026313,75,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,190.9279926,1.256077653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
75,"ANXIOUS","n",30,"g",-160,200,"s",15,0,47,47,47,NA,NA,"",NA,1.517,799.1072145,800.6458829,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,800.6458829,800.6458829,800.6458829,800.6458829,800.6458829,800.6458829,800.6458829,70,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,807.6702709,3.76558592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,2
80,"INDECISIVE","n",40,"g",-80,240,"b",8,0,5,5,5,NA,NA,"",NA,1.984,221.3894494,223.3806993,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,223.3806993,223.3806993,223.3806993,223.3806993,223.3806993,223.3806993,223.3806993,65,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,230.406057,6.79109632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,2
75,"HAPPY","p",60,"b",80,200,"s",16,0,40,40,40,NA,NA,"",NA,2.651,701.4657678,704.1240357,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,704.1240357,704.1240357,704.1240357,704.1240357,704.1240357,704.1240357,704.1240357,75,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,711.1488077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
