"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
45,"CREATIVE","p",45,"b",0,-40,"s",33,0,8,8,8,NA,NA,"",NA,2.217,263.607463822234,265.837186844437,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,265.837186844437,265.837186844437,265.837186844437,265.837186844437,265.837186844437,265.837186844437,265.837186844437,45,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,272.862464000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
30,"ANXIOUS","n",35,"b",-120,-160,"s",39,0,33,33,33,NA,NA,"",NA,2.684,603.351219199947,606.047681991127,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,606.047681991127,606.047681991127,606.047681991127,606.047681991127,606.047681991127,606.047681991127,606.047681991127,45,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,613.073009208892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
50,"INDECISIVE","n",45,"g",-40,0,"s",30,0,42,42,42,NA,NA,"",NA,2.017,736.447945102234,738.475225884467,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,738.475225884467,738.475225884467,738.475225884467,738.475225884467,738.475225884467,738.475225884467,738.475225884467,55,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,745.504788764403,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06698666664306,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,3
60,"VULNERABLE","n",35,"g",-120,80,"s",22,0,56,56,56,NA,NA,"",NA,1.617,919.995271964464,921.624803271145,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,921.624803271145,921.624803271145,921.624803271145,921.624803271145,921.624803271145,921.624803271145,921.624803271145,65,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,928.651729635545,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48328191996552,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
70,"SUPPORTED","p",30,"b",-160,160,"b",8,0,5,5,5,NA,NA,"",NA,1.984,223.595275662257,225.591608035611,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,225.591608035611,225.591608035611,225.591608035611,225.591608035611,225.591608035611,225.591608035611,225.591608035611,50,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,232.615993742249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,3
60,"INTERESTING","p",55,"b",40,80,"s",23,0,50,50,50,NA,NA,"",NA,1.167,836.101837368915,837.280094151152,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,837.280094151152,837.280094151152,837.280094151152,837.280094151152,837.280094151152,837.280094151152,837.280094151152,50,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,844.305778631126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,4
40,"HUMOROUS","p",40,"b",-80,-80,"s",35,0,38,38,38,NA,NA,"",NA,1.15,678.912087324425,680.083222186659,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,680.083222186659,680.083222186659,680.083222186659,680.083222186659,680.083222186659,680.083222186659,680.083222186659,20,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,687.107714275597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
60,"LUCKY","p",35,"b",-120,80,"s",24,0,51,51,51,NA,NA,"",NA,2.167,851.296438897727,853.473340017721,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,853.473340017721,853.473340017721,853.473340017721,853.473340017721,853.473340017721,853.473340017721,853.473340017721,65,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,860.499064035597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,4
60,"SOCIABLE","p",50,"b",0,80,"s",25,0,54,54,54,NA,NA,"",NA,2.167,894.126362737734,896.305854008882,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,896.305854008882,896.305854008882,896.305854008882,896.305854008882,896.305854008882,896.305854008882,896.305854008882,50,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,903.33204167115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
60,"UNHEALTHY","n",40,"g",-80,80,"s",26,0,57,57,57,NA,NA,"",NA,1.517,935.620970666641,937.150917120045,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,937.150917120045,937.150917120045,937.150917120045,937.150917120045,937.150917120045,937.150917120045,937.150917120045,60,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,944.178056248929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
