"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
70,"WITTY","p",80,"g",240,160,"s",16,0,40,40,40,NA,NA,"",NA,2.651,713.812812959717,716.474003791052,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,716.474003791052,716.474003791052,716.474003791052,716.474003791052,716.474003791052,716.474003791052,716.474003791052,70,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,723.497364055569,NA,NA,0.829971771745477,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
60,"COMPETENT","p",70,"g",160,80,"s",25,0,54,54,54,NA,NA,"",NA,2.167,904.089343070431,906.280940986937,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,906.280940986937,906.280940986937,906.280940986937,906.280940986937,906.280940986937,906.280940986937,906.280940986937,70,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,913.299874446326,NA,NA,0.800521556899184,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
30,"RESERVED","n",15,"g",-280,-160,"s",33,0,8,8,8,NA,NA,"",NA,2.217,273.54775334592,275.775403711654,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,275.775403711654,275.775403711654,275.775403711654,275.775403711654,275.775403711654,275.775403711654,275.775403711654,20,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,282.798221825506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
20,"GLOOMY","n",30,"b",-160,-240,"s",40,0,25,25,25,NA,NA,"",NA,1.05,502.461241064186,503.52015258724,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,503.52015258724,503.52015258724,503.52015258724,503.52015258724,503.52015258724,503.52015258724,503.52015258724,10,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,510.544734255149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
75,"ADMIRABLE","p",70,"b",160,200,"b",7,0,30,30,30,NA,NA,"",NA,2.117,572.346891366207,574.478694275953,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,574.478694275953,574.478694275953,574.478694275953,574.478694275953,574.478694275953,574.478694275953,574.478694275953,75,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,581.495640608162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
35,"CREATIVE","p",55,"g",40,-120,"s",30,0,42,42,42,NA,NA,"",NA,2.017,746.470635402831,748.497167789086,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,748.497167789086,748.497167789086,748.497167789086,748.497167789086,748.497167789086,748.497167789086,748.497167789086,35,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,755.523242789059,NA,NA,2.86841269896831,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,5
30,"ANXIOUS","n",40,"b",-80,-160,"s",34,0,1,1,1,NA,NA,"",NA,1.684,179.046662217967,180.744153818319,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,180.744153818319,180.744153818319,180.744153818319,180.744153818319,180.744153818319,180.744153818319,180.744153818319,30,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,187.775246129575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
25,"INDECISIVE","n",20,"g",-240,-200,"s",37,0,23,23,23,NA,NA,"",NA,2.934,475.959125368216,478.903948597523,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,478.903948597523,478.903948597523,478.903948597523,478.903948597523,478.903948597523,478.903948597523,478.903948597523,30,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,485.927139333275,NA,NA,0.883758179174038,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
75,"HAPPY","p",60,"b",80,200,"b",8,0,5,5,5,NA,NA,"",NA,1.984,233.518808872846,235.510610906495,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,235.510610906495,235.510610906495,235.510610906495,235.510610906495,235.510610906495,235.510610906495,235.510610906495,80,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,242.534987490129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
70,"SUPPORTED","p",80,"g",240,160,"s",17,0,35,35,35,NA,NA,"",NA,2.4,646.589968563232,649.008960276784,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,649.008960276784,649.008960276784,649.008960276784,649.008960276784,649.008960276784,649.008960276784,649.008960276784,85,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,656.033605660195,NA,NA,0.607486912718741,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
75,"INTERESTING","p",60,"b",80,200,"b",9,0,27,27,27,NA,NA,"",NA,2.35,532.62380007212,534.992839401646,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,534.992839401646,534.992839401646,534.992839401646,534.992839401646,534.992839401646,534.992839401646,534.992839401646,75,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,542.017033941025,NA,NA,0.657541127788136,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
80,"HUMOROUS","p",50,"b",0,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,218.074335794343,219.50218083369,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,219.50218083369,219.50218083369,219.50218083369,219.50218083369,219.50218083369,219.50218083369,219.50218083369,70,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,226.525010325306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,5
50,"LUCKY","p",60,"g",80,0,"s",28,0,53,53,53,NA,NA,"",NA,2.634,887.437243360211,890.081258312886,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,890.081258312886,890.081258312886,890.081258312886,890.081258312886,890.081258312886,890.081258312886,890.081258312886,50,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,897.10455258633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
35,"SOCIABLE","p",65,"g",120,-120,"s",31,0,16,16,16,NA,NA,"",NA,2.35,379.474863381445,381.834467981244,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,381.834467981244,381.834467981244,381.834467981244,381.834467981244,381.834467981244,381.834467981244,381.834467981244,40,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,388.857543801569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
50,"AMBITIOUS","p",65,"g",120,0,"s",29,0,45,45,45,NA,NA,"",NA,2.901,779.493216574658,782.406021057977,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,782.406021057977,782.406021057977,782.406021057977,782.406021057977,782.406021057977,782.406021057977,782.406021057977,40,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,789.430092717434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,3
10,"UNHEALTHY","n",20,"b",-240,-320,"b",42,0,37,37,37,NA,NA,"",NA,1.867,673.051703422534,674.92789823041,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,674.92789823041,674.92789823041,674.92789823041,674.92789823041,674.92789823041,674.92789823041,674.92789823041,10,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,681.952253480733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
