"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
50,"PATIENT","p",65,"g",120,0,"s",21,0,20,20,20,NA,NA,"",NA,1.567,413.037652300001,414.612530500002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,414.612530500002,414.612530500002,414.612530500002,414.612530500002,414.612530500002,414.612530500002,414.612530500002,65,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,421.622419399995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,4
50,"WITTY","p",65,"g",120,0,"s",22,0,56,56,56,NA,NA,"",NA,1.617,907.161298899999,908.779249800005,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,908.779249800005,908.779249800005,908.779249800005,908.779249800005,908.779249800005,908.779249800005,908.779249800005,65,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,915.796334600003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
35,"EFFICIENT","p",55,"g",40,-120,"s",29,0,45,45,45,NA,NA,"",NA,2.901,756.862973900003,759.776188600008,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,759.776188600008,759.776188600008,759.776188600008,759.776188600008,759.776188600008,759.776188600008,759.776188600008,45,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,766.788305800001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,5
50,"COMPETENT","p",65,"g",120,0,"s",23,0,50,50,50,NA,NA,"",NA,1.167,823.388279200008,824.561822899996,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,824.561822899996,824.561822899996,824.561822899996,824.561822899996,824.561822899996,824.561822899996,824.561822899996,70,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,831.572360100006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,5
80,"RESERVED","n",45,"g",-40,240,"b",9,0,27,27,27,NA,NA,"",NA,2.35,510.279233699999,512.640620999999,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,512.640620999999,512.640620999999,512.640620999999,512.640620999999,512.640620999999,512.640620999999,512.640620999999,80,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,519.652166700005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65478389999771,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
30,"GLOOMY","n",35,"b",-120,-160,"s",34,0,1,1,1,NA,NA,"",NA,1.684,157.202731199999,158.894693099995,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,158.894693099995,158.894693099995,158.894693099995,158.894693099995,158.894693099995,158.894693099995,158.894693099995,30,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,165.912187000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
50,"ADMIRABLE","p",55,"g",40,0,"s",24,0,51,51,51,NA,NA,"",NA,2.167,838.560887800006,840.732228100009,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,840.732228100009,840.732228100009,840.732228100009,840.732228100009,840.732228100009,840.732228100009,840.732228100009,50,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,847.745310400001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
20,"CREATIVE","p",55,"g",40,-240,"s",40,0,25,25,25,NA,NA,"",NA,1.05,480.1550001,481.208088400002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,481.208088400002,481.208088400002,481.208088400002,481.208088400002,481.208088400002,481.208088400002,481.208088400002,20,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,488.222427400004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
35,"ANXIOUS","n",45,"b",-40,-120,"s",30,0,42,42,42,NA,NA,"",NA,2.017,723.875088100001,725.899262599996,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,725.899262599996,725.899262599996,725.899262599996,725.899262599996,725.899262599996,725.899262599996,725.899262599996,35,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,732.909783099996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
40,"INDECISIVE","n",50,"b",0,-80,"s",27,0,58,58,58,NA,NA,"",NA,1.667,938.305055699995,939.979825100003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,939.979825100003,939.979825100003,939.979825100003,939.979825100003,939.979825100003,939.979825100003,939.979825100003,40,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,946.9926882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,2
