"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
70,"ADMIRABLE","p",65,"b",120,160,"s",20,0,29,29,29,NA,NA,"",NA,1.067,531.6937751,532.7668542,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,532.7668542,532.7668542,532.7668542,532.7668542,532.7668542,532.7668542,532.7668542,70,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,539.7787914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
65,"ANXIOUS","n",30,"g",-160,120,"s",30,0,42,42,42,NA,NA,"",NA,2.017,720.7039824,722.7268667,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,722.7268667,722.7268667,722.7268667,722.7268667,722.7268667,722.7268667,722.7268667,60,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,729.7384887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
35,"INDECISIVE","n",20,"g",-240,-120,"s",36,0,15,15,15,NA,NA,"",NA,1.7,338.4339504,340.1410265,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,340.1410265,340.1410265,340.1410265,340.1410265,340.1410265,340.1410265,340.1410265,30,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,347.1519255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
35,"VULNERABLE","n",30,"g",-160,-120,"s",37,0,23,23,23,NA,NA,"",NA,2.934,450.5452375,453.4845351,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,453.4845351,453.4845351,453.4845351,453.4845351,453.4845351,453.4845351,453.4845351,35,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,460.4969576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
80,"HAPPY","p",65,"b",120,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,192.960033,194.3821656,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,194.3821656,194.3821656,194.3821656,194.3821656,194.3821656,194.3821656,194.3821656,85,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,201.3933322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
75,"SUPPORTED","p",60,"b",80,200,"s",12,0,6,6,6,NA,NA,"",NA,1.9,224.3892004,226.2992881,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,226.2992881,226.2992881,226.2992881,226.2992881,226.2992881,226.2992881,226.2992881,80,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,233.3069867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,3
70,"INTERESTING","p",60,"b",80,160,"s",21,0,20,20,20,NA,NA,"",NA,1.567,409.8924666,411.467078,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,411.467078,411.467078,411.467078,411.467078,411.467078,411.467078,411.467078,70,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,418.4757467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,3
45,"HUMOROUS","p",55,"g",40,-40,"s",33,0,8,8,8,NA,NA,"",NA,2.217,248.3532619,250.5776303,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,250.5776303,250.5776303,250.5776303,250.5776303,250.5776303,250.5776303,250.5776303,35,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,257.5872004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,5
70,"LUCKY","p",80,"g",240,160,"s",22,0,56,56,56,NA,NA,"",NA,1.617,903.9984619,905.620153,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,905.620153,905.620153,905.620153,905.620153,905.620153,905.620153,905.620153,70,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,912.6318659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
70,"SOCIABLE","p",55,"b",40,160,"s",23,0,50,50,50,NA,NA,"",NA,1.167,820.2253914,821.4013968,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,821.4013968,821.4013968,821.4013968,821.4013968,821.4013968,821.4013968,821.4013968,70,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,828.4095442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
70,"AMBITIOUS","p",50,"b",0,160,"s",24,0,51,51,51,NA,NA,"",NA,2.167,835.4002408,837.5742006,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,837.5742006,837.5742006,837.5742006,837.5742006,837.5742006,837.5742006,837.5742006,90,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,844.5908627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,3
60,"UNHEALTHY","n",40,"g",-80,80,"s",31,0,16,16,16,NA,NA,"",NA,2.35,354.1484577,356.5053979,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,356.5053979,356.5053979,356.5053979,356.5053979,356.5053979,356.5053979,356.5053979,50,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,363.516184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
35,"INATTENTIVE","n",25,"g",-200,-120,"s",38,0,31,31,31,NA,NA,"",NA,2.25,562.8916366,565.1488645,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,565.1488645,565.1488645,565.1488645,565.1488645,565.1488645,565.1488645,565.1488645,35,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,572.1648027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
30,"PASSIVE","n",40,"b",-80,-160,"s",40,0,25,25,25,NA,NA,"",NA,1.05,477.0004209,478.0564848,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,478.0564848,478.0564848,478.0564848,478.0564848,478.0564848,478.0564848,478.0564848,10,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,485.0674205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
80,"PRODUCTIVE","p",55,"b",40,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,546.7673437,548.8908166,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,548.8908166,548.8908166,548.8908166,548.8908166,548.8908166,548.8908166,548.8908166,70,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,555.9013316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,5
70,"ORIGINAL","p",65,"b",120,160,"s",25,0,54,54,54,NA,NA,"",NA,2.167,878.1766186,880.3484019,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,880.3484019,880.3484019,880.3484019,880.3484019,880.3484019,880.3484019,880.3484019,85,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,887.3597612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
75,"BRILLIANT","p",60,"b",80,200,"s",13,0,41,41,41,NA,NA,"",NA,1.984,704.7109351,706.7024102,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,706.7024102,706.7024102,706.7024102,706.7024102,706.7024102,706.7024102,706.7024102,75,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,713.7143871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
