"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
30,"MOODY","n",40,"b",-80,-160,"s",40,0,25,25,25,NA,NA,"",NA,1.05,486.303025699919,487.359911600011,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,487.359911600011,487.359911600011,487.359911600011,487.359911600011,487.359911600011,487.359911600011,487.359911600011,30,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,494.370510799927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
80,"PATIENT","p",40,"b",-80,240,"b",8,0,5,5,5,NA,NA,"",NA,1.984,217.667267699959,219.658922399976,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,219.658922399976,219.658922399976,219.658922399976,219.658922399976,219.658922399976,219.658922399976,219.658922399976,80,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,226.669226199971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,4
70,"WITTY","p",60,"b",80,160,"s",13,0,41,41,41,NA,NA,"",NA,1.984,714.02172859991,716.01781479991,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,716.01781479991,716.01781479991,716.01781479991,716.01781479991,716.01781479991,716.01781479991,716.01781479991,70,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,723.025088499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,4
50,"COMPETENT","p",60,"g",80,0,"s",23,0,50,50,50,NA,NA,"",NA,1.167,829.536200299975,830.711013499997,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,830.711013499997,830.711013499997,830.711013499997,830.711013499997,830.711013499997,830.711013499997,830.711013499997,60,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,837.72148409998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
35,"CREATIVE","p",55,"g",40,-120,"s",36,0,15,15,15,NA,NA,"",NA,1.7,347.711713999975,349.418451900012,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,349.418451900012,349.418451900012,349.418451900012,349.418451900012,349.418451900012,349.418451900012,349.418451900012,50,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,356.428959299927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,4
40,"ANXIOUS","n",35,"g",-120,-80,"s",31,0,16,16,16,NA,NA,"",NA,2.35,363.417051399942,365.77505940001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,365.77505940001,365.77505940001,365.77505940001,365.77505940001,365.77505940001,365.77505940001,365.77505940001,25,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,372.785577500006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
40,"INDECISIVE","n",60,"b",80,-80,"s",32,0,46,46,46,NA,NA,"",NA,1,779.916203500004,780.92350699997,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,780.92350699997,780.92350699997,780.92350699997,780.92350699997,780.92350699997,780.92350699997,780.92350699997,40,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,787.936933099991,1.28881120006554,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
30,"VULNERABLE","n",35,"b",-120,-160,"b",41,0,26,26,26,NA,NA,"",NA,1.05,501.358505100012,502.419050199911,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,502.419050199911,502.419050199911,502.419050199911,502.419050199911,502.419050199911,502.419050199911,502.419050199911,30,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,509.428275099955,1.4812403001124,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,3
70,"HAPPY","p",55,"b",40,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,178.976522099925,180.206029599998,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,180.206029599998,180.206029599998,180.206029599998,180.206029599998,180.206029599998,180.206029599998,180.206029599998,70,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,187.215840199962,0.852290399954654,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
40,"SUPPORTED","p",50,"g",0,-80,"s",33,0,8,8,8,NA,NA,"",NA,2.217,257.630981799914,259.855936900014,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,259.855936900014,259.855936900014,259.855936900014,259.855936900014,259.855936900014,259.855936900014,259.855936900014,60,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,266.865773899946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
