"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
60,"CREATIVE","p",50,"b",0,80,"s",21,0,20,20,20,NA,NA,"",NA,1.567,423.724486826664,425.299976533333,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,425.299976533333,425.299976533333,425.299976533333,425.299976533333,425.299976533333,425.299976533333,425.299976533333,55,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,432.324427377778,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,5
25,"ANXIOUS","n",35,"b",-120,-200,"s",36,0,15,15,15,NA,NA,"",NA,1.7,352.206078293333,353.916697599998,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,353.916697599998,353.916697599998,353.916697599998,353.916697599998,353.916697599998,353.916697599998,353.916697599998,25,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,360.941336462223,1.05522631110944,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
20,"INDECISIVE","n",45,"b",-40,-240,"b",42,0,37,37,37,NA,NA,"",NA,1.867,661.461495182222,663.338924942222,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,663.338924942222,663.338924942222,663.338924942222,663.338924942222,663.338924942222,663.338924942222,663.338924942222,45,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,670.364900693334,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
60,"HAPPY","p",75,"g",200,80,"s",22,0,56,56,56,NA,NA,"",NA,1.617,918.379217635556,920.004621653334,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,920.004621653334,920.004621653334,920.004621653334,920.004621653334,920.004621653334,920.004621653334,920.004621653334,70,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,927.029570844443,1.64585955555594,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
75,"HUMOROUS","p",55,"b",40,200,"b",6,0,4,4,4,NA,NA,"",NA,1.417,206.585130951109,208.011595662221,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,208.011595662221,208.011595662221,208.011595662221,208.011595662221,208.011595662221,208.011595662221,208.011595662221,75,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,215.036311608888,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,5
50,"LUCKY","p",65,"g",120,0,"s",28,0,53,53,53,NA,NA,"",NA,2.634,875.881872213333,878.526900053334,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,878.526900053334,878.526900053334,878.526900053334,878.526900053334,878.526900053334,878.526900053334,878.526900053334,50,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,885.548212053334,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
40,"SOCIABLE","p",70,"g",160,-80,"s",30,0,42,42,42,NA,NA,"",NA,2.017,734.863750826666,736.891535644445,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,736.891535644445,736.891535644445,736.891535644445,736.891535644445,736.891535644445,736.891535644445,736.891535644445,50,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,743.916809386665,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
50,"AMBITIOUS","p",65,"g",120,0,"s",29,0,45,45,45,NA,NA,"",NA,2.901,767.905699840001,770.816384853333,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,770.816384853333,770.816384853333,770.816384853333,770.816384853333,770.816384853333,770.816384853333,770.816384853333,50,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,777.840391111109,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
30,"UNHEALTHY","n",15,"g",-280,-160,"s",33,0,8,8,8,NA,NA,"",NA,2.217,262.024705991109,264.252070968887,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,264.252070968887,264.252070968887,264.252070968887,264.252070968887,264.252070968887,264.252070968887,264.252070968887,20,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,271.27794176,2.41766343111158,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
20,"PASSIVE","n",35,"b",-120,-240,"b",43,0,21,21,21,NA,NA,"",NA,1.934,439.303753386666,441.242133617776,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,441.242133617776,441.242133617776,441.242133617776,441.242133617776,441.242133617776,441.242133617776,441.242133617776,30,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,448.268551395555,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
